period,total_population_years,n_below_goal_high_er,pct_below_goal_high_er,n_pops_below_goal_high_er,pops_below_goal_high_er,n_below_psc85_high_er,pct_below_psc85_high_er,n_pops_below_psc85_high_er,pops_below_psc85_high_er
2009-2018,336,29,8.6,16,"Chilkat, Coquille, Coweeman, Cowichan, Grays Harbor Fall, Harrison, Nehalem Fall, Queets Fall, Siletz Fall, Siuslaw Fall, Skagit Spr, Skagit SumFall, Stikine, Stillaguamish, Taku, Unuk",17,5.1,11,"Coweeman, Cowichan, Harrison, Nehalem Fall, Siuslaw Fall, Skagit Spr, Skagit SumFall, Stikine, Stillaguamish, Taku, Unuk"
2019-Present,136,4,2.9,3,"Coquille, Stikine, Taku",4,2.9,3,"Coquille, Stikine, Taku"
