period,total_population_years,n_below_goal_high_er,pct_below_goal_high_er,n_pops_below_goal_high_er,pops_below_goal_high_er,n_below_psc85_high_er,pct_below_psc85_high_er,n_pops_below_psc85_high_er,pops_below_psc85_high_er
2009-2018,286,45,15.7,21,"Atnarko, Chilkat, Coquille, Coweeman, Cowichan, Grays Harbor Fall, Harrison, Lewis, Lower Shuswap, Nehalem Fall, Queets Fall, Queets SprSum, Quillayute Fall, Siletz Fall, Siuslaw Fall, Skagit Spr, Skagit SumFall, Stikine, Stillaguamish, Taku, Unuk",28,9.8,16,"Coquille, Coweeman, Cowichan, Grays Harbor Fall, Harrison, Lower Shuswap, Nehalem Fall, Queets Fall, Queets SprSum, Siuslaw Fall, Skagit Spr, Skagit SumFall, Stikine, Stillaguamish, Taku, Unuk"
2019-Present,145,15,10.3,11,"Coquille, Grays Harbor Fall, Nehalem Fall, Queets Fall, Queets SprSum, Siuslaw Fall, Snohomish, South Umpqua, Stikine, Taku",13,9,9,"Coquille, Nehalem Fall, Queets Fall, Queets SprSum, Siuslaw Fall, South Umpqua, Stikine, Taku"
