stock_location_name,release_location_rmis_basin,hatchery_location_name,release_location_name,run,number_of_broodyears,year_range,total_recoveries
CLARKS CR    10.0027,PUYA,CLARKS CRK HATCHERY,CLARKS CRK HATCHERY,Fall,4,2009-2021,1166
CLARKS CR    10.0027,PUYA,CLARKS CRK HATCHERY,POINT DEFIANCE NET PENS,Fall,1,2021-2021,14
CLARKS CR    10.0027,PUYA,CLARKS CRK HATCHERY,PUYALLUP R   10.0021,Fall,1,2019-2019,27
CLARKS CR    10.0027,PUYA,CLARKS CRK HATCHERY,WILKESON CR  10.0432,Fall,1,2021-2021,4
CLARKS CR    10.0027,PUYA,COWSKULL ACCLIM POND,COWSKULL ACCLIM POND,Fall,1,2006-2006,96
CLEAR CR    11.0013C,EKPN,GORST CR REARING PND,GORST CR     15.0216,Fall,1,2015-2015,432
CLEAR CR    11.0013C,NISQ,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,Fall,25,1997-2021,54674
CLEAR CR    11.0013C,NISQ,CLEAR CREEK HATCHERY,MCALLISTER SPRINGS HATCH,Fall,2,2015-2016,433
CLEAR CR    11.0013C,NISQ,KALAMA CR HATCHERY,MCALLISTER SPRINGS HATCH,Fall,1,2021-2021,2
CLEAR CR    11.0013C,NISQ,MCALLISTER HATCHERY,MCALLISTER CR11.0324,Fall,1,1997-1997,195
CLEAR CR    11.0013C,NISQ,MCALLISTER SPRINGS HATCH,MCALLISTER SPRINGS HATCH,Fall,4,2017-2020,21
COWLITZ R    26.0002,DUWA,ELLIOTT BAY SEAPENS,ELLIOTT BAY SEAPENS,Fall,1,1977-1977,2
COWLITZ R    26.0002,SKDO,DUNGENESS HATCHERY,DOSEWALLIPS  16.0442,Spring,1,1973-1973,8
COWLITZ R    26.0002,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Spring,1,1973-1973,5
COWLITZ R    26.0002,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Spring,2,1971-1972,473
COWLITZ X DUNGENESS,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Spring,1,1974-1974,121
COWLITZ X DUNGENESS,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Spring,1,1971-1971,363
COWLITZ X NOOKSACK R,LUDA,QUILCENE NFH,BIG QUILCENE 17.0012,Spring,1,1983-1983,48
COWLITZ X SF NOOKSAC,LUDA,QUILCENE NFH,BIG QUILCENE 17.0012,Spring,3,1981-1983,108
COWLITZ X UMPQUA R,DUWA,SOOS CREEK HATCHERY,CRISP CR     09.0113,Spring,1,1975-1975,10
COWLITZ X WHITE R,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Spring,1,1972-1972,362
COWLITZ X WHITE R,SNOH,WALLACE R HATCHERY,SULTAN R     07.0881,Spring,1,1971-1971,12
COWLITZ X WHITE R,WICI,WHIDBEY ISL NET PENS,MARINERS COVE NETPEN,Spring,1,1971-1971,111
DESCHUTES + GEORGE A,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,1,1992-1992,209
DESCHUTES R  13.0028,CHAM,CHAMBERS CR HATCHERY,CHAMBERS CR  12.0007,Fall,1,2002-2002,183
DESCHUTES R  13.0028,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,6,2004-2009,2629
DESCHUTES R  13.0028,CHAM,LAKEWOOD HATCHERY,CHAMBERS CR  12.0007,Fall,5,2003-2008,817
DESCHUTES R  13.0028,CHAM,NARROWS MARINA PENS,NARROWS MARINA PENS,Fall,2,1987-1988,124
DESCHUTES R  13.0028,DES,ALLISON SPRINGS HAT.,CAPITOL LK/MCLANE CR,Fall,1,1987-1987,985
DESCHUTES R  13.0028,DES,ALLISON SPRINGS HAT.,MCLANE CR    13.0138,Fall,1,1977-1977,6
DESCHUTES R  13.0028,DES,BINGHAM CR HATCHERY,CAPITOL LK (THUR),Fall,1,1971-1971,154
DESCHUTES R  13.0028,DES,BINGHAM CR HATCHERY,ELD INLET        13G,Fall,1,1971-1971,34
DESCHUTES R  13.0028,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,6,1974-1991,3274
DESCHUTES R  13.0028,DES,CAPITOL LK REARING,CAPITOL LK/MCLANE CR,Fall,1,1988-1988,17
