stock_location_name,release_location_rmis_basin,hatchery_location_name,release_location_name,run,number_of_broodyears,year_range,total_recoveries
KENDALL CR   01.0406,NOOK,LUMMI HATCHERY -POND,LUMMI SEA PONDS,Spring,1,2021-2021,1
KENDALL CR   01.0406,NOOK,LUMMI SEA PONDS,LUMMI HATCHERY -POND,Spring,1,2018-2018,95
KENDALL CR   01.0406,NOOK,LUMMI SEA PONDS,LUMMI SEA PONDS,Fall,2,1991-1992,113
KENDALL CR   01.0406,NOOK,LUMMI SEA PONDS,LUMMI SEA PONDS,Spring,1,2019-2019,48
KENDALL CR   01.0406,NOOK,MAMOYA POND HATCHERY,SLATER SLOUGH 1.0156,Fall,1,1992-1992,49
KENDALL CR   01.0406,NOOK,NA,KENDALL CR   01.0406,Spring,2,1981-1982,6
KENDALL CR   01.0406,SJUA,GLENWOOD SPRINGS,EAST SOUND BAY (SAN),Spring,1,1991-1991,22
LOWER ELWHA  18.0274,ELDU,LOWER ELWHA HATCHERY,ELWHA R      18.0272,Fall,3,1988-1990,134
MARBLEMOUNT HATCH,SKAGG,MARBLEMOUNT HATCHERY,STRESS RELIEF PD 1 (SKAG),Spring,1,2021-2021,4
MARBLEMOUNT HATCH,UPSK,MARBLEMOUNT HATCHERY,CASCADE R    03.1411,Spring,6,2016-2021,8287
MARBLEMOUNT HATCH,UPSK,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,Spring,1,2018-2018,2567
MAY CR       07.0943,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Summer,3,2019-2021,506
MAY CR       07.0943,SNOH,WALLACE R HATCHERY,WALLACE R    07.0940,Fall,1,1992-1992,331
MAY CR + WALLACE CR,SJUA,GLENWOOD SPRINGS,ORCAS IS TRB 02.0065,Summer,2,1985-1989,28
MAY CR + WALLACE CR,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,1,1988-1988,503
MAY CR + WALLACE CR,SNOH,WALLACE R HATCHERY,MAY CR       07.0943,Fall,1,1972-1972,46
MAY CR + WALLACE CR,SNOH,WALLACE R HATCHERY,MAY CR       07.0943,Summer,1,1987-1987,438
MAY CR + WALLACE CR,SNOH,WALLACE R HATCHERY,SKYKOMISH R  07.0012,Summer,1,1972-1972,338
MCALISTER+SOOS+CLEAR,NISQ,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,Fall,1,1992-1992,1070
MCALLISTER CR11.0324,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,1,1985-1985,53
MCALLISTER CR11.0324,NISQ,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,Fall,2,1995-1996,61
MCALLISTER CR11.0324,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,1,1990-1990,514
MCALLISTER CR11.0324,NISQ,MCALLISTER HATCHERY,MCALLISTER CR11.0324,Fall,5,1994-2000,234
MCALLISTER/CLEAR-NIS,NISQ,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,Fall,1,1993-1993,216
MINTER CR    15.0048,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,2012-2012,6
MINTER CR    15.0048,CHAM,NARROWS MARINA PENS,NARROWS MARINA PENS,Fall,2,1972-2019,140
MINTER CR    15.0048,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,1,1972-1972,133
MINTER CR    15.0048,DUWA,ELLIOTT BAY SEAPENS,ELLIOTT BAY SEAPENS,Fall,2,1972-1973,260
MINTER CR    15.0048,EKPN,GIG HARBOR PENS,GIG HARBOR PENS,Fall,1,1972-1972,94
MINTER CR    15.0048,EKPN,GORST CR REARING PND,GORST CR     15.0216,Fall,4,2008-2011,949
MINTER CR    15.0048,EKPN,GORST CR REARING PND,GORST CR REAR.POND-1,Fall,2,2020-2021,162
MINTER CR    15.0048,EKPN,GORST CR REARING PND,GORST CR REAR.POND-2,Fall,2,2020-2021,235
MINTER CR    15.0048,EKPN,MANCHESTER FUEL DEPT,LITTLE CLAM BAY PENS,Fall,1,1973-1973,12
MINTER CR    15.0048,EKPS,FILUCY BAY NET PENS,FILUCY BAY NET PENS,Fall,1,1972-1972,3
MINTER CR    15.0048,EKPS,FOX ISLAND NET PENS,ECHO BAY -FOX ISLAND,Fall,2,1976-1978,55
MINTER CR    15.0048,EKPS,HUPP SPRINGS REARING,HUPP SPRINGS REARING,Fall,1,1980-1980,32
MINTER CR    15.0048,EKPS,HUPP SPRINGS REARING,HUPP SPRINGS REARING,Spring,1,1984-1984,120
MINTER CR    15.0048,EKPS,HUPP SPRINGS REARING,MINTER CR    15.0048,Fall,4,2011-2014,23
MINTER CR    15.0048,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Fall,10,1971-2014,5444
MINTER CR    15.0048,EKPS,SHAWS COVE NET PENS,SHAWS COVE NET PENS,Fall,1,1972-1972,58
MINTER CR    15.0048,SJUA,GLENWOOD SPRINGS,EAST SOUND BAY (SAN),Fall,1,2009-2009,404
MINTER CR HATCHERY,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,2020-2020,91
MINTER CR HATCHERY,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Fall,6,2016-2021,5080
MINTER CR X WHITE R,EKPN,GORST CR REARING PND,GORST CR     15.0216,NA,1,1972-1972,216
MINTER+DESCHUTES+COU,EKPS,COULTER CR REARING POND,COULTER CR   15.0002,Fall,1,1981-1981,4
NISQUALLY R  11.0008,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,2020-2020,226
NISQUALLY R  11.0008,EKPN,GORST CR REARING PND,GORST CR     15.0216,Fall,1,2016-2016,327
NISQUALLY R  11.0008,NISQ,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,Fall,2,1995-1996,1878
NISQUALLY R  11.0008,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,2,1994-2015,854
NOOKSACK -SF 01.0246,NOOK,KENDALL CR HATCHERY,NOOKSACK R -NF 01.0120,Spring,2,2008-2009,880
NOOKSACK -SF 01.0246,NOOK,SKOOKUM CR HATCHERY,NOOKSACK -SF 01.0246,Spring,11,1980-2020,929
NOOKSACK -SF 01.0246,NOOK,SKOOKUM CR HATCHERY,SKOOKUM CR   01.0273,Spring,11,2010-2021,15255
NOOKSACK R   01.0120,NOOK,KENDALL CR HATCHERY,BOYD CR      01.0490,Spring,1,2011-2011,1313
NOOKSACK R   01.0120,NOOK,KENDALL CR HATCHERY,DEADHORSE CR 01.0495,Spring,1,2002-2002,308
NOOKSACK R   01.0120,NOOK,KENDALL CR HATCHERY,KENDALL CR   01.0406,Spring,21,1981-2021,16257
NOOKSACK R   01.0120,NOOK,KENDALL CR HATCHERY,NOOKSACK R -NF 01.0120,Spring,6,2003-2010,5734
NOOKSACK R -NF,NOOK,LUMMI HATCHERY -POND,LUMMI HATCHERY -POND,Spring,1,2020-2020,37
NOOKSACK+SAMISH MIX,NOOK,KENDALL CR HATCHERY,KENDALL CR   01.0406,Fall,1,1985-1985,94
NOOKSACK+SAMISH MIX,NOOK,LUMMI SEA PONDS,LUMMI SEA PONDS,Fall,3,1994-2001,237
NOOKSACK+SAMISH MIX,NOOK,LUMMI SEA PONDS,SLATER SLOUGH 1.0156,Fall,3,1990-2001,232
NOOKSACK+SAMISH MIX,NOOK,MAMOYA POND HATCHERY,SLATER SLOUGH 1.0156,Fall,1,1994-1994,83
PORTAGE BAY STOCK UW,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,1980-1980,3
PORTAGE BAY STOCK UW,EKPS,FOX ISLAND NET PENS,ECHO BAY -FOX ISLAND,Fall,1,1980-1980,1
PORTAGE BAY STOCK UW,LAKW,PORTAGE BAY HATCHERY,LK WASHINGTON (KING),Fall,1,1983-1983,334
PORTAGE BAY STOCK UW,LAKW,PORTAGE BAY HATCHERY,PORTAGE BAY/SHIP CNL,Fall,15,1973-2003,18002
PORTAGE BAY STOCK UW,LUDA,QUILCENE NFH,BIG QUILCENE 17.0012,Fall,1,1975-1975,1
PUYALLUP + DESCHUTES,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,1979-1979,49
PUYALLUP R   10.0021,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,2016-2016,16
PUYALLUP R   10.0021,PUYA,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,Fall,2,2020-2021,500
QUILLAYUTE +BIG SOOS,WAGNG,BEAR SPRINGS+TULALIP,QUILLAYUTE+TULALIP C,Summer,1,1989-1989,98
RIVERS I X DESCHUTES,CHAM,NARROWS MARINA PENS,NARROWS MARINA PENS,Fall,1,1974-1974,22
RIVERS I X DESCHUTES,DUWA,ELLIOTT BAY SEAPENS,ELLIOTT BAY SEAPENS,Fall,1,1974-1974,46
RIVERS I X DESCHUTES,EKPN,GIG HARBOR PENS,GIG HARBOR PENS,Fall,1,1974-1974,9
RIVERS I X DESCHUTES,PUYA,TACOMA MARINA SEAPEN,COMMENCEMENT BAY 11A,Fall,1,1974-1974,20
S PUGET SOUND STOCKS,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,1981-1981,161
S PUGET SOUND STOCKS,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,3,1979-1986,433
S PUGET SOUND STOCKS,DUWA,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,Fall,1,1989-1989,126
S PUGET SOUND STOCKS,EKPS,COULTER CR REARING POND,COULTER CR   15.0002,Fall,2,1980-1981,78
S PUGET SOUND STOCKS,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Fall,2,1979-1981,160
S PUGET SOUND STOCKS,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,2,1979-1980,142
S SOUND + HOOD CANAL,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,1,1980-1980,31
S SOUND + HOOD CANAL,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,2,1981-1985,1101
SAMISH   (FRIDAY CR),BESA,ANACORTES NET PENS,GUEMES CHANNEL (NPRS),Fall,1,1994-1994,5
SAMISH   (FRIDAY CR),BESA,FIDALGO BAY NET PENS,FIDALGO BAY NET PENS,Fall,1,1995-1995,14
SAMISH   (FRIDAY CR),BESA,FIDALGO BAY NET PENS,GUEMES CHANNEL (NPRS),Fall,1,1996-1996,24
SAMISH   (FRIDAY CR),BESA,MARBLEMOUNT HATCHERY,SAMISH R     03.0005,Fall,1,1972-1972,1
SAMISH   (FRIDAY CR),BESA,SAMISH HATCHERY,FRIDAY CR    03.0017,Fall,32,1972-2015,32738
SAMISH   (FRIDAY CR),BESA,SAMISH HATCHERY,FRIDAY CR + SAMISH R,Fall,2,1998-1999,2015
SAMISH   (FRIDAY CR),BESA,SAMISH HATCHERY,SAMISH R     03.0005,Fall,3,1979-2009,3646
SAMISH   (FRIDAY CR),BESA,WHATCOM CR HATCHERY,SQUALICUM NET PENS,Fall,3,1994-1997,18
SAMISH   (FRIDAY CR),BESA,WHATCOM CR HATCHERY,WHATCOM CR   01.0566,Fall,1,1991-1991,48
SAMISH   (FRIDAY CR),DES,ZITTEL'S MARINA PENS,PONCIN COVE-ZITTLE'S,Fall,1,1990-1990,15
SAMISH   (FRIDAY CR),DUWA,DES MOINES NET PENS,DES MOINES NET PENS,Fall,1,1997-1997,1
SAMISH   (FRIDAY CR),DUWA,ELLIOTT BAY SEAPENS,ELLIOTT BAY SEAPENS,Fall,2,1990-1991,142
SAMISH   (FRIDAY CR),NOOK,LUMMI SEA PONDS,LUMMI SEA PONDS,Fall,6,1978-1987,2038
SAMISH   (FRIDAY CR),NOOK,LUMMI SEA PONDS,NOOKSACK R   01.0120,Fall,1,1987-1987,99
SAMISH   (FRIDAY CR),NOOK,MAMOYA POND HATCHERY,SLATER SLOUGH 1.0156,Fall,1,1989-1989,28
SAMISH   (FRIDAY CR),NOOK,SKOOKUM CR HATCHERY,NOOKSACK -SF 01.0246,Fall,3,1978-1980,66
SAMISH   (FRIDAY CR),SJUA,GLENWOOD SPRINGS,EAST SOUND BAY (SAN),Fall,4,2004-2008,918
SAMISH   (FRIDAY CR),SJUA,SAN JUAN NET PENS,SAN JUAN NET PENS,Fall,1,1990-1990,11
SAMISH   (FRIDAY CR),SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,1,1991-1991,122
SAMISH   (FRIDAY CR),SNOH,NWSSC-EVERETT N PEN,NWSSC-EVERETT N PEN,Fall,1,1996-1996,2
SAMISH   (FRIDAY CR),WICI,LANGLEY NET PENS,LANGLEY NET PENS,Fall,1,1995-1995,13
SAMISH   (FRIDAY CR),WICI,LANGLEY NET PENS,SARATOGA PASSAGE  8A,Fall,3,1994-1997,18
SAMISH   (FRIDAY CR),WICI,MARBLEMOUNT HATCHERY,OAK HARBOR NET PENS,Fall,1,1990-1990,8
SAMISH   (FRIDAY CR),WICI,OAK HARBOR NET PENS,OAK HARBOR NET PENS,Fall,2,1996-1997,33
SAMISH HATCHERY,BESA,SAMISH HATCHERY,FRIDAY CR    03.0017,Fall,6,2016-2021,6279
SAMISH R     03.0005,DUWA,MARBLEMOUNT HATCHERY,ELLIOTT BAY SEAPENS,Fall,1,1996-1996,4
SAMISH R     03.0005,NOOK,LUMMI SEA PONDS,LUMMI SEA PONDS,Fall,1,2002-2002,265
SAMISH R     03.0005,NOOK,LUMMI SEA PONDS,NOOKSACK R   01.0120,Fall,1,2002-2002,192
SKAGIT + SKYKOMISH,PUYA,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,Fall,1,1978-1978,45
SKAGIT R     03.0176,BESA,FIDALGO BAY NET PENS,FIDALGO BAY NET PENS,Fall,2,1993-1997,39
SKAGIT R     03.0176,SKAGG,COUNTY LINE PONDS,SKAGIT R     03.0176,Summer,2,2005-2007,817
SKAGIT R     03.0176,SKAGG,MARBLEMOUNT HATCHERY,BAKER R      03.0435,Fall,3,2006-2008,704
SKAGIT R     03.0176,SKAGG,NA,BAKER R      03.0435,Fall,6,1999-2005,2586
SKAGIT R     03.0176,SKAGG,NA,RED CR       03.1325,Fall,1,2000-2000,80
SKAGIT R     03.0176,SKAGG,NA,SKAGIT R     03.0176,Fall,1,1974-1974,1
SKAGIT R     03.0176,SKAGG,NA,SKAGIT R     03.0176,Summer,16,1973-2004,2619
SKAGIT R     03.0176,SKDO,NF SKOKOMISH HATCHERY,NF SKOKOMISH DAM #2 POOL,Spring,5,2014-2018,32
SKAGIT R     03.0176,SKDO,NF SKOKOMISH HATCHERY,NF SKOKOMISH HATCHERY,Spring,2,2019-2020,14
SKAGIT R     03.0176,SKDO,NF SKOKOMISH HATCHERY,SKOKOMISH R -NF (16),Spring,1,2020-2020,1
SKAGIT R     03.0176,SNOH,BATTLE CR HATCHERY,BATTLE CR    07.0005,Spring,1,1996-1996,115
SKAGIT R     03.0176,SNOH,BERNIE GOBIN HATCH,BATTLE CR    07.0005,Spring,3,1997-1999,125
SKAGIT R     03.0176,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,1,1972-1972,293
SKAGIT R     03.0176,UPSK,COUNTY LINE PONDS,COUNTY LINE CR3.2363,Summer,1,2006-2006,340
SKAGIT R     03.0176,UPSK,MARBLEMOUNT HATCHERY,CASCADE R    03.1411,Spring,23,1993-2015,48824
SKAGIT R     03.0176,UPSK,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,Spring,1,1985-1985,643
SKAGIT R     03.0176,UPSK,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,Summer,3,1971-1976,1623
SKAGIT R     03.0176,UPSK,MARBLEMOUNT HATCHERY,CO LINE PD2 03.1853B,Summer,9,2008-2018,1363
SKAGIT R     03.0176,UPSK,MARBLEMOUNT HATCHERY,CO LINE SLU 03.1853A,Summer,3,2019-2021,842
SKAGIT R     03.0176,UPSK,MARBLEMOUNT HATCHERY,COUNTY LINE CR3.2363,Summer,2,2012-2017,255
SKAGIT R     03.0176,UPSK,MARBLEMOUNT HATCHERY,SKAGIT R + CASCADE R,Spring,1,1999-1999,722
SKAGIT R     03.0176,UPSK,NA,COUNTY LINE CR3.2363,Summer,1,1999-1999,122
SKAGIT TRIBUTARIES,UPSK,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,Spring,3,1983-1986,299
SKOKOMISH R  16.0001,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,6,2016-2021,22676
SKOKOMISH R  16.0001,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,NA,1,2021-2021,177
SKOKOMISH R  16.0001,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Fall,4,2016-2021,2564
SKOKOMISH R  16.0001,SKDO,MCKERNAN HATCHERY,SKOKOMISH R -NF (16),Fall,5,2016-2020,76
SKOKOMISH R  16.0001,SKDO,MCKERNAN HATCHERY,SKOKOMISH R -NF (16),NA,1,2021-2021,2
SKOKOMISH R  16.0001,SKDO,MCKERNAN HATCHERY,VANCE CR     16.0013,Fall,5,2016-2020,107
SKOKOMISH R  16.0001,SKDO,MCKERNAN HATCHERY,VANCE CR     16.0013,NA,1,2021-2021,1
SKOKOMISH R -NF (16),SKDO,NF SKOKOMISH HATCHERY,NF SKOKOMISH DAM #2 POOL,Spring,1,2018-2018,1
SKOKOMISH R -NF (16),SKDO,NF SKOKOMISH HATCHERY,NF SKOKOMISH HATCHERY,Spring,1,2020-2020,1
SKOOKUM CR   01.0273,NOOK,SKOOKUM CR HATCHERY,NOOKSACK -SF 01.0246,Spring,2,1985-1988,78
SKOOKUM CR   01.0273,NOOK,SKOOKUM CR HATCHERY,SKOOKUM CR   01.0273,Spring,1,1990-1990,13
SKYKOMISH R  07.0012,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Summer,11,2000-2018,2188
SKYKOMISH R  07.0012,SNOH,WALLACE R HATCHERY,MAY CR       07.0943,Summer,1,2011-2011,540
SKYKOMISH R  07.0012,SNOH,WALLACE R HATCHERY,WALLACE R    07.0940,Fall,3,1993-1995,377
SKYKOMISH R  07.0012,SNOH,WALLACE R HATCHERY,WALLACE R    07.0940,Summer,23,1996-2021,39985
SNOHOMISH R  07.0012,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,1,1986-1986,471
SNOHOMISH R  07.0012,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Summer,1,2014-2014,145
SNOHOMISH R  07.0012,SNOH,WALLACE R HATCHERY,SKYKOMISH R  07.0012,Summer,1,1973-1973,109
SNOHOMISH R  07.0012,SNOH,WALLACE R HATCHERY,SKYKOMISH R -SF (07),Summer,1,1972-1972,67
SNOHOMISH R  07.0012,SNOH,WALLACE R HATCHERY,WALLACE R    07.0940,Summer,1,1976-1976,1055
SOL DUC R   20.0096,DUWA,ELLIOTT BAY SEAPENS,ELLIOTT BAY SEAPENS,Spring,1,1975-1975,11
SOL DUC R   20.0096,LUDA,QUILCENE NFH,BIG QUILCENE 17.0012,Spring,4,1988-1991,38
SOL DUC R   20.0096,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Spring,5,1988-1992,161
SOUTH PUGET SOUND,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,1,1971-1971,34
STILLAGUAMISH R,STIL,BRENNER HATCHERY,STILLAGUAMISH R -SF,Fall,10,2011-2021,115
STILLAGUAMISH R,STIL,HARVEY CR HATCHERY,STILLAGUAMISH R,Summer,1,1982-1982,54
STILLAGUAMISH R,STIL,HARVEY CR HATCHERY,STILLAGUAMISH R -NF,Summer,3,1983-1987,408
STILLAGUAMISH R,STIL,HARVEY CR HATCHERY,STILLAGUAMISH TRIBS,Summer,2,1980-1981,45
STILLAGUAMISH R,STIL,WHITEHORSE POND,STILLAGUAM.-NF TRIBS,Summer,2,1995-1996,509
STILLAGUAMISH R,STIL,WHITEHORSE POND,STILLAGUAMISH R -NF,Summer,6,1994-2001,1332
STILLAGUAMISH R -NF,STIL,FORTSON POND NET PEN,WHITEHORSE SPRINGS,Summer,1,2018-2018,219
STILLAGUAMISH R -NF,STIL,HARVEY CR HATCHERY,BIG FOUR CR 05.0434B,Summer,3,1991-1994,17
STILLAGUAMISH R -NF,STIL,HARVEY CR HATCHERY,FORTSON CR   05.0254,Summer,1,1988-1988,143
STILLAGUAMISH R -NF,STIL,HARVEY CR HATCHERY,STILLAGUAMISH R -NF,Summer,1,1989-1989,202
STILLAGUAMISH R -NF,STIL,HARVEY CR HATCHERY,STILLAGUAMISH R -NF,NA,1,1990-1990,508
STILLAGUAMISH R -NF,STIL,HARVEY CR HATCHERY,WHITEHORSE SPRINGS,Summer,3,1991-1993,599
STILLAGUAMISH R -NF,STIL,WHITEHORSE POND,WHITEHORSE SPRINGS,Summer,19,2002-2021,6002
SUIATTLE R   03.0710,UPSK,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,Spring,1,1987-1987,235
TRASK R (TRASK HT),SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Fall,1,1973-1973,78
TUMWATER FALLS HATCHERY,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,4,2017-2021,785
TUMWATER FALLS HATCHERY,DES,MINTER CR HATCHERY,DESCHUTES R  13.0028,Fall,1,2018-2018,539
TUMWATER FALLS HATCHERY,DES,TUMWATER FALLS HATCHERY,DESCHUTES R  13.0028,Fall,5,2016-2021,2482
UNDETERMINED MIXED,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,2,1971-1979,263
UNDETERMINED MIXED,SPSG,S PUGET SOUND ADULTS,S PUGET SOUND ADULTS,Fall,2,1973-1974,99
VOIGHT CR    10.0414,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,2015-2015,3
VOIGHT CR    10.0414,EKPS,FOX ISLAND NET PENS,ECHO BAY -FOX ISLAND,Fall,1,1981-1981,2
VOIGHT CR    10.0414,EKPS,GARRISON HATCHERY,ECHO BAY -FOX ISLAND,Fall,1,1979-1979,13
VOIGHT CR    10.0414,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,1,1980-1980,32
VOIGHT CR    10.0414,PUYA,CLARKS CRK HATCHERY,CLARKS CRK HATCHERY,Fall,1,2003-2003,490
VOIGHT CR    10.0414,PUYA,CLARKS CRK HATCHERY,COWSKULL ACCLIM POND,Fall,1,2007-2007,10
VOIGHT CR    10.0414,PUYA,CLARKS CRK HATCHERY,POINT DEFIANCE NET PENS,Fall,1,2021-2021,2
VOIGHT CR    10.0414,PUYA,COWSKL & RUSHWTR PDS,COWSKL & RUSHWTR PDS,Fall,1,2001-2001,85
VOIGHT CR    10.0414,PUYA,COWSKULL ACCLIM POND,COWSKULL ACCLIM POND,Fall,2,2002-2004,314
VOIGHT CR    10.0414,PUYA,PUYALLUP TRIBAL HATCHERY,CLARKS CR    10.0027,Fall,2,1985-1986,34
VOIGHT CR    10.0414,PUYA,PUYALLUP TRIBAL HATCHERY,COWSKULL ACCLIM POND,Fall,1,2000-2000,72
VOIGHT CR    10.0414,PUYA,PUYALLUP TRIBAL HATCHERY,DIRU CR      10.0029,Fall,3,1997-2001,449
VOIGHT CR    10.0414,PUYA,PUYALLUP TRIBAL HATCHERY,MOWICH R+COWSKULL PD,Fall,1,1999-1999,35
VOIGHT CR    10.0414,PUYA,VOIGHTS CR HATCHERY,MOWICH R+COWSKULL PD,Fall,1,1998-1998,102
VOIGHT CR    10.0414,PUYA,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,Fall,13,1971-2014,8401
VOIGHT CR    10.0414,PUYA,VOIGHTS CR HATCHERY,VOIGHT CR TR 10.0428,Fall,1,2009-2009,623
WALLACE R    07.0940,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,2,1998-1999,412
WALLACE R    07.0940,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Summer,9,1998-2017,1169
WALLACE R    07.0940,SNOH,WALLACE R HATCHERY,WALLACE R    07.0940,Summer,1,1985-1985,93
WALLACE R + SAMISH,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,4,2000-2003,922
WELLS HATCHERY,WAGNG,TURTLE ROCK HATCHERY,CHELAN R + COLUMBIA R,Summer,1,2005-2005,1051
WHATCOM CR   01.0566,BESA,WHATCOM CR HATCHERY,WHATCOM CR   01.0566,Fall,2,1992-1994,176
WHITE R      10.0031,EKPS,FOX ISLAND NET PENS,ECHO BAY -FOX ISLAND,Spring,1,1997-1997,90
WHITE R      10.0031,EKPS,HUPP SPRINGS REARING,HUPP SPRINGS REARING,Spring,14,1979-1992,6089
WHITE R      10.0031,EKPS,HUPP SPRINGS REARING,MINTER CR    15.0048,Spring,25,1989-2021,13501
WHITE R      10.0031,EKPS,HUPP SPRINGS REARING,MINTER CR TR 15.0051,Spring,5,2013-2019,8214
WHITE R      10.0031,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Spring,10,1972-2011,12601
WHITE R      10.0031,PUYA,CLARKS CRK HATCHERY,COWSKL & RUSHWTR PDS,Spring,1,2008-2008,16
WHITE R      10.0031,PUYA,CLEARWATER + CRIPPLE,CLEARWATER + CRIPPLE,Spring,1,1995-1995,84
WHITE R      10.0031,PUYA,HUPP SPRINGS REARING,WHITE R      10.0031,Spring,2,1986-1992,207
WHITE R      10.0031,PUYA,MINTER CR HATCHERY,WHITE R      10.0031,Spring,3,1972-1975,47
WHITE R      10.0031,PUYA,PUYALLUP TRIBAL HATCHERY,HUCKLEBERRY C10.0253,Spring,1,2013-2013,48
WHITE R      10.0031,PUYA,WHITE RIVER HATCHERY,GREENWATER R 10.0122,Spring,1,2000-2000,3
WHITE R      10.0031,PUYA,WHITE RIVER HATCHERY,WHITE R      10.0031,Spring,33,1989-2021,43028
WILLAPA X HUMPTULIPS,BESA,SAMISH HATCHERY,FRIDAY CR + SAMISH R,Fall,1,1972-1972,17
NA,LAKW,MONTLAKE HATCHERY,PORTAGE BAY/SHIP CNL,Fall,1,1970-1970,3
NA,NOOK,SKOOKUM CR HATCHERY,NOOKSACK -SF 01.0246,Fall,1,1974-1974,27
