stock_location_name,release_location_rmis_basin,hatchery_location_name,release_location_name,run,number_of_broodyears,year_range,total_recoveries
SOL DUC R   20.0096,QUHO,BEAR SPRINGS 1  (20),BEAR SPRINGS 1  (20),Spring,1,2016-2016,136
SOL DUC R   20.0096,QUHO,BEAR SPRINGS 1  (20),BEAR SPRINGS 2  (20),Spring,1,2007-2007,29
SOL DUC R   20.0096,QUHO,BEAR SPRINGS 1  (20),SOL DUC R   20.0096,Spring,5,2011-2015,996
SOL DUC R   20.0096,QUHO,LONESOME CR HATCHERY,BEAR SPRINGS 1  (20),Spring,3,2018-2020,594
SOL DUC R   20.0096,QUHO,LONESOME CR HATCHERY,BEAR SPRINGS 2  (20),Spring,2,2008-2021,84
SOL DUC R   20.0096,QUHO,LONESOME CR HATCHERY,QUILLAYUTE R 20.0096,Spring,1,1992-1992,33
SOL DUC R   20.0096,QUHO,LONESOME CR HATCHERY,SOL DUC R   20.0096,Spring,7,2008-2014,2275
SOL DUC R   20.0096,QUHO,SOLDUC HATCHERY,BEAR SPRINGS 1  (20),Spring,1,2017-2017,177
SOL DUC R   20.0096,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Fall,4,1982-1986,952
SOL DUC R   20.0096,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Spring,21,1973-2021,5465
TSOO-YESS R      20.0015,QUHO,MAKAH NFH ON TSOO-YESS R,TSOO-YESS R      20.0015,Fall,35,1985-2021,7422
