"Year","StockName","SeriesLabel","Values"
2013,"Taku","Esc",18002
2014,"Taku","Esc",23532
2015,"Taku","Esc",23567
2016,"Taku","Esc",9177
2017,"Taku","Esc",8214
2018,"Taku","Esc",7271
2019,"Taku","Esc",11558
2020,"Taku","Esc",15593
2021,"Taku","Esc",11341
2022,"Taku","Esc",12722
1975,"Stikine","Esc",7571
1976,"Stikine","Esc",5723
1977,"Stikine","Esc",11445
1978,"Stikine","Esc",6835
1979,"Stikine","Esc",12610
1980,"Stikine","Esc",30573
1981,"Stikine","Esc",36057
1982,"Stikine","Esc",40488
1983,"Stikine","Esc",6424
1984,"Stikine","Esc",13995
1985,"Stikine","Esc",16037
1986,"Stikine","Esc",14889
1987,"Stikine","Esc",24632
1988,"Stikine","Esc",37554
1989,"Stikine","Esc",24282
1990,"Stikine","Esc",22619
1991,"Stikine","Esc",23206
1992,"Stikine","Esc",34129
1993,"Stikine","Esc",58962
1994,"Stikine","Esc",33094
1995,"Stikine","Esc",16784
1996,"Stikine","Esc",28949
1997,"Stikine","Esc",26996
1998,"Stikine","Esc",25968
1999,"Stikine","Esc",19947
2000,"Stikine","Esc",27531
2001,"Stikine","Esc",63523
2002,"Stikine","Esc",50875
2003,"Stikine","Esc",46824
2004,"Stikine","Esc",48900
2005,"Stikine","Esc",39833
2006,"Stikine","Esc",24405
2007,"Stikine","Esc",14560
2008,"Stikine","Esc",18352
2009,"Stikine","Esc",12972
2010,"Stikine","Esc",15148
2011,"Stikine","Esc",14511
2012,"Stikine","Esc",22332
2013,"Stikine","Esc",16784
2014,"Stikine","Esc",24374
2015,"Stikine","Esc",21597
2016,"Stikine","Esc",10554
2017,"Stikine","Esc",7335
2018,"Stikine","Esc",8603
2019,"Stikine","Esc",13817
2020,"Stikine","Esc",9753
2021,"Stikine","Esc",8376
2022,"Stikine","Esc",9090
1975,"Chilkat","Esc",NA
1976,"Chilkat","Esc",NA
1977,"Chilkat","Esc",NA
1978,"Chilkat","Esc",NA
1979,"Chilkat","Esc",NA
1980,"Chilkat","Esc",NA
1981,"Chilkat","Esc",NA
1982,"Chilkat","Esc",NA
1983,"Chilkat","Esc",NA
1984,"Chilkat","Esc",NA
1985,"Chilkat","Esc",NA
1986,"Chilkat","Esc",NA
1987,"Chilkat","Esc",NA
1988,"Chilkat","Esc",NA
1989,"Chilkat","Esc",NA
1990,"Chilkat","Esc",NA
1991,"Chilkat","Esc",5882
1992,"Chilkat","Esc",5277
1993,"Chilkat","Esc",4463
1994,"Chilkat","Esc",6792
1995,"Chilkat","Esc",3768
1996,"Chilkat","Esc",4902
1997,"Chilkat","Esc",8089
1998,"Chilkat","Esc",3656
1999,"Chilkat","Esc",2258
2000,"Chilkat","Esc",2029
2001,"Chilkat","Esc",4514
2002,"Chilkat","Esc",4034
2003,"Chilkat","Esc",5631
2004,"Chilkat","Esc",3406
2005,"Chilkat","Esc",3361
2006,"Chilkat","Esc",3003
2007,"Chilkat","Esc",1435
2008,"Chilkat","Esc",2881
2009,"Chilkat","Esc",4406
2010,"Chilkat","Esc",1797
2011,"Chilkat","Esc",2674
2012,"Chilkat","Esc",1723
2013,"Chilkat","Esc",1719
2014,"Chilkat","Esc",1529
2015,"Chilkat","Esc",2452
2016,"Chilkat","Esc",1380
2017,"Chilkat","Esc",1173
2018,"Chilkat","Esc",873
2019,"Chilkat","Esc",2028
2020,"Chilkat","Esc",3180
2021,"Chilkat","Esc",2038
2022,"Chilkat","Esc",1582
1975,"Unuk","Esc",NA
1976,"Unuk","Esc",NA
1977,"Unuk","Esc",4706
1978,"Unuk","Esc",5344
1979,"Unuk","Esc",2783
1980,"Unuk","Esc",4909
1981,"Unuk","Esc",3532
1982,"Unuk","Esc",6528
1983,"Unuk","Esc",5436
1984,"Unuk","Esc",8876
1985,"Unuk","Esc",5721
1986,"Unuk","Esc",10273
1987,"Unuk","Esc",9533
1988,"Unuk","Esc",8437
1989,"Unuk","Esc",5552
1990,"Unuk","Esc",2856
1991,"Unuk","Esc",3165
1992,"Unuk","Esc",4223
1993,"Unuk","Esc",5160
1994,"Unuk","Esc",3435
1995,"Unuk","Esc",3730
1996,"Unuk","Esc",5639
1997,"Unuk","Esc",2970
1998,"Unuk","Esc",4132
1999,"Unuk","Esc",3914
2000,"Unuk","Esc",5872
2001,"Unuk","Esc",10541
2002,"Unuk","Esc",6988
2003,"Unuk","Esc",5546
2004,"Unuk","Esc",3963
2005,"Unuk","Esc",4742
2006,"Unuk","Esc",5645
2007,"Unuk","Esc",5668
2008,"Unuk","Esc",3104
2009,"Unuk","Esc",3157
2010,"Unuk","Esc",3835
2011,"Unuk","Esc",3195
