"Year","StockName","SeriesLabel","Values"
1981,"Lower Shuswap","Calib. Total Adult Esc",8248
1981,"Lower Shuswap","Esc (MR)",NA
1982,"Lower Shuswap","Calib. Total Adult Esc",3347
1982,"Lower Shuswap","Esc (MR)",NA
1983,"Lower Shuswap","Calib. Total Adult Esc",NA
1983,"Lower Shuswap","Esc (MR)",5396
1984,"Lower Shuswap","Calib. Total Adult Esc",NA
1984,"Lower Shuswap","Esc (MR)",7582
1985,"Lower Shuswap","Calib. Total Adult Esc",NA
1985,"Lower Shuswap","Esc (MR)",10539
1986,"Lower Shuswap","Calib. Total Adult Esc",20334
1986,"Lower Shuswap","Esc (MR)",NA
1987,"Lower Shuswap","Calib. Total Adult Esc",16453
1987,"Lower Shuswap","Esc (MR)",NA
1988,"Lower Shuswap","Calib. Total Adult Esc",20334
1988,"Lower Shuswap","Esc (MR)",NA
1989,"Lower Shuswap","Calib. Total Adult Esc",18378
1989,"Lower Shuswap","Esc (MR)",NA
1990,"Lower Shuswap","Calib. Total Adult Esc",23779
1990,"Lower Shuswap","Esc (MR)",NA
1991,"Lower Shuswap","Calib. Total Adult Esc",15795
1991,"Lower Shuswap","Esc (MR)",NA
1992,"Lower Shuswap","Calib. Total Adult Esc",20358
1992,"Lower Shuswap","Esc (MR)",NA
1993,"Lower Shuswap","Calib. Total Adult Esc",13828
1993,"Lower Shuswap","Esc (MR)",NA
1994,"Lower Shuswap","Calib. Total Adult Esc",36410
1994,"Lower Shuswap","Esc (MR)",NA
1995,"Lower Shuswap","Calib. Total Adult Esc",14177
1995,"Lower Shuswap","Esc (MR)",NA
1996,"Lower Shuswap","Calib. Total Adult Esc",35358
1996,"Lower Shuswap","Esc (MR)",NA
1997,"Lower Shuswap","Calib. Total Adult Esc",19393
1997,"Lower Shuswap","Esc (MR)",NA
1998,"Lower Shuswap","Calib. Total Adult Esc",34338
1998,"Lower Shuswap","Esc (MR)",NA
1999,"Lower Shuswap","Calib. Total Adult Esc",46369
1999,"Lower Shuswap","Esc (MR)",NA
2000,"Lower Shuswap","Calib. Total Adult Esc",NA
2000,"Lower Shuswap","Esc (MR)",27800
2001,"Lower Shuswap","Calib. Total Adult Esc",NA
2001,"Lower Shuswap","Esc (MR)",35743
2002,"Lower Shuswap","Calib. Total Adult Esc",NA
2002,"Lower Shuswap","Esc (MR)",54219
2003,"Lower Shuswap","Calib. Total Adult Esc",39910
2003,"Lower Shuswap","Esc (MR)",NA
2004,"Lower Shuswap","Calib. Total Adult Esc",NA
2004,"Lower Shuswap","Esc (MR)",16963
2005,"Lower Shuswap","Calib. Total Adult Esc",NA
2005,"Lower Shuswap","Esc (MR)",17893
2006,"Lower Shuswap","Calib. Total Adult Esc",NA
2006,"Lower Shuswap","Esc (MR)",59085
2007,"Lower Shuswap","Calib. Total Adult Esc",NA
2007,"Lower Shuswap","Esc (MR)",15926
2008,"Lower Shuswap","Calib. Total Adult Esc",NA
2008,"Lower Shuswap","Esc (MR)",14921
2009,"Lower Shuswap","Calib. Total Adult Esc",NA
2009,"Lower Shuswap","Esc (MR)",25288
2010,"Lower Shuswap","Calib. Total Adult Esc",NA
2010,"Lower Shuswap","Esc (MR)",71354
2011,"Lower Shuswap","Calib. Total Adult Esc",NA
2011,"Lower Shuswap","Esc (MR)",18895
2012,"Lower Shuswap","Calib. Total Adult Esc",NA
2012,"Lower Shuswap","Esc (MR)",4091
2013,"Lower Shuswap","Calib. Total Adult Esc",NA
2013,"Lower Shuswap","Esc (MR)",28797
2014,"Lower Shuswap","Calib. Total Adult Esc",NA
2014,"Lower Shuswap","Esc (MR)",43952
2015,"Lower Shuswap","Calib. Total Adult Esc",NA
2015,"Lower Shuswap","Esc (MR)",39440
2016,"Lower Shuswap","Calib. Total Adult Esc",NA
2016,"Lower Shuswap","Esc (MR)",6438
2017,"Lower Shuswap","Calib. Total Adult Esc",NA
2017,"Lower Shuswap","Esc (MR)",13430
2018,"Lower Shuswap","Calib. Total Adult Esc",NA
2018,"Lower Shuswap","Esc (MR)",17120
2019,"Lower Shuswap","Calib. Total Adult Esc",NA
2019,"Lower Shuswap","Esc (MR)",29649
2020,"Lower Shuswap","Calib. Total Adult Esc",NA
2020,"Lower Shuswap","Esc (MR)",25528
2021,"Lower Shuswap","Calib. Total Adult Esc",NA
2021,"Lower Shuswap","Esc (MR)",29507
2022,"Lower Shuswap","Calib. Total Adult Esc",NA
2022,"Lower Shuswap","Esc (MR)",33914
1975,"Harrison","Esc",NA
1976,"Harrison","Esc",NA
1977,"Harrison","Esc",NA
1978,"Harrison","Esc",NA
1979,"Harrison","Esc",NA
1980,"Harrison","Esc",NA
1981,"Harrison","Esc",NA
1982,"Harrison","Esc",NA
1983,"Harrison","Esc",NA
1984,"Harrison","Esc",120835
1985,"Harrison","Esc",174776
1986,"Harrison","Esc",162594
1987,"Harrison","Esc",79036
1988,"Harrison","Esc",35114
1989,"Harrison","Esc",74683
1990,"Harrison","Esc",177373
1991,"Harrison","Esc",90636
1992,"Harrison","Esc",130409
1993,"Harrison","Esc",118997
1994,"Harrison","Esc",98342
1995,"Harrison","Esc",28616
1996,"Harrison","Esc",37392
1997,"Harrison","Esc",70514
1998,"Harrison","Esc",200258
1999,"Harrison","Esc",104415
2000,"Harrison","Esc",77754
2001,"Harrison","Esc",108502
2002,"Harrison","Esc",83011
2003,"Harrison","Esc",246986
2004,"Harrison","Esc",139126
2005,"Harrison","Esc",88589
2006,"Harrison","Esc",60421
2007,"Harrison","Esc",76483
2008,"Harrison","Esc",41603
2009,"Harrison","Esc",70142
2010,"Harrison","Esc",103558
2011,"Harrison","Esc",123647
2012,"Harrison","Esc",44467
2013,"Harrison","Esc",42953
2014,"Harrison","Esc",44686
2015,"Harrison","Esc",101516
2016,"Harrison","Esc",41327
2017,"Harrison","Esc",29799
2018,"Harrison","Esc",46094
2019,"Harrison","Esc",45186
2020,"Harrison","Esc",43087
2021,"Harrison","Esc",36449
2022,"Harrison","Esc",81649
1975,"Skagit Spr","Esc (Peak Ct)",627
1975,"Skagit Spr","Esc (Redd Ct)",NA
1976,"Skagit Spr","Esc (Peak Ct)",633
1976,"Skagit Spr","Esc (Redd Ct)",NA
1977,"Skagit Spr","Esc (Peak Ct)",520
1977,"Skagit Spr","Esc (Redd Ct)",NA
1978,"Skagit Spr","Esc (Peak Ct)",932
1978,"Skagit Spr","Esc (Redd Ct)",NA
1979,"Skagit Spr","Esc (Peak Ct)",818
1979,"Skagit Spr","Esc (Redd Ct)",NA
1980,"Skagit Spr","Esc (Peak Ct)",1408
1980,"Skagit Spr","Esc (Redd Ct)",NA
1981,"Skagit Spr","Esc (Peak Ct)",1045
1981,"Skagit Spr","Esc (Redd Ct)",NA
1982,"Skagit Spr","Esc (Peak Ct)",753
1982,"Skagit Spr","Esc (Redd Ct)",NA
1983,"Skagit Spr","Esc (Peak Ct)",554
1983,"Skagit Spr","Esc (Redd Ct)",NA
1984,"Skagit Spr","Esc (Peak Ct)",696
1984,"Skagit Spr","Esc (Redd Ct)",NA
1985,"Skagit Spr","Esc (Peak Ct)",2634
1985,"Skagit Spr","Esc (Redd Ct)",NA
1986,"Skagit Spr","Esc (Peak Ct)",1922
1986,"Skagit Spr","Esc (Redd Ct)",NA
1987,"Skagit Spr","Esc (Peak Ct)",1745
1987,"Skagit Spr","Esc (Redd Ct)",NA
1988,"Skagit Spr","Esc (Peak Ct)",1743
1988,"Skagit Spr","Esc (Redd Ct)",NA
1989,"Skagit Spr","Esc (Peak Ct)",1400
1989,"Skagit Spr","Esc (Redd Ct)",NA
1990,"Skagit Spr","Esc (Peak Ct)",1511
1990,"Skagit Spr","Esc (Redd Ct)",NA
1991,"Skagit Spr","Esc (Peak Ct)",1236
1991,"Skagit Spr","Esc (Redd Ct)",NA
1992,"Skagit Spr","Esc (Peak Ct)",NA
1992,"Skagit Spr","Esc (Redd Ct)",986
1993,"Skagit Spr","Esc (Peak Ct)",NA
1993,"Skagit Spr","Esc (Redd Ct)",782
1994,"Skagit Spr","Esc (Peak Ct)",NA
1994,"Skagit Spr","Esc (Redd Ct)",470
1995,"Skagit Spr","Esc (Peak Ct)",NA
1995,"Skagit Spr","Esc (Redd Ct)",855
1996,"Skagit Spr","Esc (Peak Ct)",NA
1996,"Skagit Spr","Esc (Redd Ct)",1051
1997,"Skagit Spr","Esc (Peak Ct)",NA
1997,"Skagit Spr","Esc (Redd Ct)",1041
1998,"Skagit Spr","Esc (Peak Ct)",NA
1998,"Skagit Spr","Esc (Redd Ct)",1071
1999,"Skagit Spr","Esc (Peak Ct)",NA
1999,"Skagit Spr","Esc (Redd Ct)",471
2000,"Skagit Spr","Esc (Peak Ct)",NA
2000,"Skagit Spr","Esc (Redd Ct)",1021
2001,"Skagit Spr","Esc (Peak Ct)",NA
2001,"Skagit Spr","Esc (Redd Ct)",1852
2002,"Skagit Spr","Esc (Peak Ct)",NA
2002,"Skagit Spr","Esc (Redd Ct)",1026
2003,"Skagit Spr","Esc (Peak Ct)",NA
2003,"Skagit Spr","Esc (Redd Ct)",844
2004,"Skagit Spr","Esc (Peak Ct)",NA
2004,"Skagit Spr","Esc (Redd Ct)",1575
2005,"Skagit Spr","Esc (Peak Ct)",NA
2005,"Skagit Spr","Esc (Redd Ct)",1208
2006,"Skagit Spr","Esc (Peak Ct)",NA
2006,"Skagit Spr","Esc (Redd Ct)",1896
2007,"Skagit Spr","Esc (Peak Ct)",NA
2007,"Skagit Spr","Esc (Redd Ct)",613
2008,"Skagit Spr","Esc (Peak Ct)",NA
2008,"Skagit Spr","Esc (Redd Ct)",1470
2009,"Skagit Spr","Esc (Peak Ct)",NA
2009,"Skagit Spr","Esc (Redd Ct)",978
2010,"Skagit Spr","Esc (Peak Ct)",NA
2010,"Skagit Spr","Esc (Redd Ct)",1361
2011,"Skagit Spr","Esc (Peak Ct)",NA
2011,"Skagit Spr","Esc (Redd Ct)",794
2012,"Skagit Spr","Esc (Peak Ct)",NA
2012,"Skagit Spr","Esc (Redd Ct)",2763
2013,"Skagit Spr","Esc (Peak Ct)",NA
2013,"Skagit Spr","Esc (Redd Ct)",1976
2014,"Skagit Spr","Esc (Peak Ct)",NA
2014,"Skagit Spr","Esc (Redd Ct)",1608
2015,"Skagit Spr","Esc (Peak Ct)",NA
2015,"Skagit Spr","Esc (Redd Ct)",1409
2016,"Skagit Spr","Esc (Peak Ct)",NA
2016,"Skagit Spr","Esc (Redd Ct)",2429
2017,"Skagit Spr","Esc (Peak Ct)",NA
2017,"Skagit Spr","Esc (Redd Ct)",2851
2018,"Skagit Spr","Esc (Peak Ct)",NA
2018,"Skagit Spr","Esc (Redd Ct)",2376
2019,"Skagit Spr","Esc (Peak Ct)",NA
2019,"Skagit Spr","Esc (Redd Ct)",1131
2020,"Skagit Spr","Esc (Peak Ct)",NA
2020,"Skagit Spr","Esc (Redd Ct)",1449
2021,"Skagit Spr","Esc (Peak Ct)",NA
2021,"Skagit Spr","Esc (Redd Ct)",1602
2022,"Skagit Spr","Esc (Peak Ct)",NA
2022,"Skagit Spr","Esc (Redd Ct)",3487
1975,"Skagit SumFall","Esc",11320
1976,"Skagit SumFall","Esc",14120
1977,"Skagit SumFall","Esc",9218
1978,"Skagit SumFall","Esc",13075
1979,"Skagit SumFall","Esc",13306
1980,"Skagit SumFall","Esc",20058
1981,"Skagit SumFall","Esc",8283
1982,"Skagit SumFall","Esc",9910
1983,"Skagit SumFall","Esc",8723
1984,"Skagit SumFall","Esc",12628
1985,"Skagit SumFall","Esc",16002
1986,"Skagit SumFall","Esc",17908
1987,"Skagit SumFall","Esc",9409
1988,"Skagit SumFall","Esc",11468
1989,"Skagit SumFall","Esc",6684
1990,"Skagit SumFall","Esc",16521
1991,"Skagit SumFall","Esc",5824
1992,"Skagit SumFall","Esc",7348
1993,"Skagit SumFall","Esc",5801
1994,"Skagit SumFall","Esc",5561
1995,"Skagit SumFall","Esc",6892
1996,"Skagit SumFall","Esc",10613
1997,"Skagit SumFall","Esc",4872
1998,"Skagit SumFall","Esc",14609
1999,"Skagit SumFall","Esc",4924
2000,"Skagit SumFall","Esc",16930
2001,"Skagit SumFall","Esc",13793
2002,"Skagit SumFall","Esc",19591
2003,"Skagit SumFall","Esc",9777
2004,"Skagit SumFall","Esc",23553
2005,"Skagit SumFall","Esc",20803
2006,"Skagit SumFall","Esc",20768
2007,"Skagit SumFall","Esc",11281
2008,"Skagit SumFall","Esc",11664
2009,"Skagit SumFall","Esc",6979
2010,"Skagit SumFall","Esc",8017
2011,"Skagit SumFall","Esc",5510
2012,"Skagit SumFall","Esc",13817
2013,"Skagit SumFall","Esc",10882
2014,"Skagit SumFall","Esc",10480
2015,"Skagit SumFall","Esc",13076
2016,"Skagit SumFall","Esc",19290
2017,"Skagit SumFall","Esc",12579
2018,"Skagit SumFall","Esc",10903
2019,"Skagit SumFall","Esc",11810
2020,"Skagit SumFall","Esc",10865
2021,"Skagit SumFall","Esc",9177
2022,"Skagit SumFall","Esc",17323
1975,"Stillaguamish","Esc (Redd Ct)",1198
1975,"Stillaguamish","Esc (tGMR)",NA
1976,"Stillaguamish","Esc (Redd Ct)",2140
1976,"Stillaguamish","Esc (tGMR)",NA
1977,"Stillaguamish","Esc (Redd Ct)",1475
1977,"Stillaguamish","Esc (tGMR)",NA
1978,"Stillaguamish","Esc (Redd Ct)",1232
1978,"Stillaguamish","Esc (tGMR)",NA
1979,"Stillaguamish","Esc (Redd Ct)",1042
1979,"Stillaguamish","Esc (tGMR)",NA
1980,"Stillaguamish","Esc (Redd Ct)",821
1980,"Stillaguamish","Esc (tGMR)",NA
1981,"Stillaguamish","Esc (Redd Ct)",630
1981,"Stillaguamish","Esc (tGMR)",NA
1982,"Stillaguamish","Esc (Redd Ct)",773
1982,"Stillaguamish","Esc (tGMR)",NA
1983,"Stillaguamish","Esc (Redd Ct)",387
1983,"Stillaguamish","Esc (tGMR)",NA
1984,"Stillaguamish","Esc (Redd Ct)",374
1984,"Stillaguamish","Esc (tGMR)",NA
1985,"Stillaguamish","Esc (Redd Ct)",1409
1985,"Stillaguamish","Esc (tGMR)",NA
1986,"Stillaguamish","Esc (Redd Ct)",1277
1986,"Stillaguamish","Esc (tGMR)",NA
1987,"Stillaguamish","Esc (Redd Ct)",1321
1987,"Stillaguamish","Esc (tGMR)",NA
1988,"Stillaguamish","Esc (Redd Ct)",715
1988,"Stillaguamish","Esc (tGMR)",867
1989,"Stillaguamish","Esc (Redd Ct)",782
1989,"Stillaguamish","Esc (tGMR)",956
1990,"Stillaguamish","Esc (Redd Ct)",840
1990,"Stillaguamish","Esc (tGMR)",1032
1991,"Stillaguamish","Esc (Redd Ct)",1531
1991,"Stillaguamish","Esc (tGMR)",1948
1992,"Stillaguamish","Esc (Redd Ct)",637
1992,"Stillaguamish","Esc (tGMR)",764
1993,"Stillaguamish","Esc (Redd Ct)",717
1993,"Stillaguamish","Esc (tGMR)",870
1994,"Stillaguamish","Esc (Redd Ct)",770
1994,"Stillaguamish","Esc (tGMR)",941
1995,"Stillaguamish","Esc (Redd Ct)",773
1995,"Stillaguamish","Esc (tGMR)",944
1996,"Stillaguamish","Esc (Redd Ct)",1240
1996,"Stillaguamish","Esc (tGMR)",1563
1997,"Stillaguamish","Esc (Redd Ct)",1152
1997,"Stillaguamish","Esc (tGMR)",1447
1998,"Stillaguamish","Esc (Redd Ct)",1539
1998,"Stillaguamish","Esc (tGMR)",1959
1999,"Stillaguamish","Esc (Redd Ct)",1095
1999,"Stillaguamish","Esc (tGMR)",1370
2000,"Stillaguamish","Esc (Redd Ct)",1639
2000,"Stillaguamish","Esc (tGMR)",2092
2001,"Stillaguamish","Esc (Redd Ct)",1345
2001,"Stillaguamish","Esc (tGMR)",1702
2002,"Stillaguamish","Esc (Redd Ct)",1583
2002,"Stillaguamish","Esc (tGMR)",2017
2003,"Stillaguamish","Esc (Redd Ct)",984
2003,"Stillaguamish","Esc (tGMR)",1224
2004,"Stillaguamish","Esc (Redd Ct)",1501
2004,"Stillaguamish","Esc (tGMR)",1908
2005,"Stillaguamish","Esc (Redd Ct)",1032
2005,"Stillaguamish","Esc (tGMR)",1287
2006,"Stillaguamish","Esc (Redd Ct)",1250
2006,"Stillaguamish","Esc (tGMR)",1576
2007,"Stillaguamish","Esc (Redd Ct)",605
2007,"Stillaguamish","Esc (tGMR)",721
2008,"Stillaguamish","Esc (Redd Ct)",1671
2008,"Stillaguamish","Esc (tGMR)",1711
2009,"Stillaguamish","Esc (Redd Ct)",1001
2009,"Stillaguamish","Esc (tGMR)",1239
2010,"Stillaguamish","Esc (Redd Ct)",783
2010,"Stillaguamish","Esc (tGMR)",837
2011,"Stillaguamish","Esc (Redd Ct)",1017
2011,"Stillaguamish","Esc (tGMR)",1637
2012,"Stillaguamish","Esc (Redd Ct)",1534
2012,"Stillaguamish","Esc (tGMR)",1787
2013,"Stillaguamish","Esc (Redd Ct)",854
2013,"Stillaguamish","Esc (tGMR)",997
2014,"Stillaguamish","Esc (Redd Ct)",432
2014,"Stillaguamish","Esc (tGMR)",419
2015,"Stillaguamish","Esc (Redd Ct)",459
2015,"Stillaguamish","Esc (tGMR)",709
2016,"Stillaguamish","Esc (Redd Ct)",861
2016,"Stillaguamish","Esc (tGMR)",1053
2017,"Stillaguamish","Esc (Redd Ct)",1075
2017,"Stillaguamish","Esc (tGMR)",1070
2018,"Stillaguamish","Esc (Redd Ct)",562
2018,"Stillaguamish","Esc (tGMR)",966
2019,"Stillaguamish","Esc (Redd Ct)",440
2019,"Stillaguamish","Esc (tGMR)",944
2020,"Stillaguamish","Esc (Redd Ct)",702
2020,"Stillaguamish","Esc (tGMR)",1443
2021,"Stillaguamish","Esc (Redd Ct)",555
2021,"Stillaguamish","Esc (tGMR)",1579
2022,"Stillaguamish","Esc (Redd Ct)",1407
2022,"Stillaguamish","Esc (tGMR)",1530
1975,"Snohomish","Esc",3953
1975,"Snohomish","Esc (tGMR)",NA
1976,"Snohomish","Esc",4659
1976,"Snohomish","Esc (tGMR)",NA
1977,"Snohomish","Esc",5542
1977,"Snohomish","Esc (tGMR)",NA
1978,"Snohomish","Esc",7905
1978,"Snohomish","Esc (tGMR)",NA
1979,"Snohomish","Esc",5726
1979,"Snohomish","Esc (tGMR)",NA
1980,"Snohomish","Esc",6526
1980,"Snohomish","Esc (tGMR)",NA
1981,"Snohomish","Esc",3330
1981,"Snohomish","Esc (tGMR)",NA
1982,"Snohomish","Esc",4498
1982,"Snohomish","Esc (tGMR)",NA
1983,"Snohomish","Esc",4537
1983,"Snohomish","Esc (tGMR)",NA
1984,"Snohomish","Esc",3484
1984,"Snohomish","Esc (tGMR)",NA
1985,"Snohomish","Esc",4730
1985,"Snohomish","Esc (tGMR)",NA
1986,"Snohomish","Esc",4534
1986,"Snohomish","Esc (tGMR)",NA
1987,"Snohomish","Esc",4689
1987,"Snohomish","Esc (tGMR)",NA
1988,"Snohomish","Esc",4513
1988,"Snohomish","Esc (tGMR)",NA
1989,"Snohomish","Esc",3173
1989,"Snohomish","Esc (tGMR)",NA
1990,"Snohomish","Esc",4722
1990,"Snohomish","Esc (tGMR)",NA
1991,"Snohomish","Esc",2800
1991,"Snohomish","Esc (tGMR)",NA
1992,"Snohomish","Esc",2708
1992,"Snohomish","Esc (tGMR)",NA
1993,"Snohomish","Esc",4019
1993,"Snohomish","Esc (tGMR)",NA
1994,"Snohomish","Esc",3406
1994,"Snohomish","Esc (tGMR)",NA
1995,"Snohomish","Esc",3356
1995,"Snohomish","Esc (tGMR)",NA
1996,"Snohomish","Esc",4851
1996,"Snohomish","Esc (tGMR)",NA
1997,"Snohomish","Esc",4078
1997,"Snohomish","Esc (tGMR)",NA
1998,"Snohomish","Esc",6306
1998,"Snohomish","Esc (tGMR)",NA
1999,"Snohomish","Esc",4791
1999,"Snohomish","Esc (tGMR)",NA
2000,"Snohomish","Esc",6095
2000,"Snohomish","Esc (tGMR)",NA
2001,"Snohomish","Esc",8166
2001,"Snohomish","Esc (tGMR)",NA
2002,"Snohomish","Esc",7223
2002,"Snohomish","Esc (tGMR)",NA
2003,"Snohomish","Esc",5447
2003,"Snohomish","Esc (tGMR)",NA
2004,"Snohomish","Esc",10602
2004,"Snohomish","Esc (tGMR)",NA
2005,"Snohomish","Esc",4480
2005,"Snohomish","Esc (tGMR)",NA
2006,"Snohomish","Esc",8188
2006,"Snohomish","Esc (tGMR)",NA
2007,"Snohomish","Esc",3982
2007,"Snohomish","Esc (tGMR)",NA
2008,"Snohomish","Esc",8373
2008,"Snohomish","Esc (tGMR)",NA
2009,"Snohomish","Esc",2309
2009,"Snohomish","Esc (tGMR)",NA
2010,"Snohomish","Esc",4299
2010,"Snohomish","Esc (tGMR)",NA
2011,"Snohomish","Esc",1883
2011,"Snohomish","Esc (tGMR)",5384
2012,"Snohomish","Esc",5124
2012,"Snohomish","Esc (tGMR)",5692
2013,"Snohomish","Esc",3244
2013,"Snohomish","Esc (tGMR)",14173
2014,"Snohomish","Esc",3902
2014,"Snohomish","Esc (tGMR)",5214
2015,"Snohomish","Esc",3863
2015,"Snohomish","Esc (tGMR)",5885
2016,"Snohomish","Esc",5153
2016,"Snohomish","Esc (tGMR)",14914
2017,"Snohomish","Esc",6119
2017,"Snohomish","Esc (tGMR)",15011
2018,"Snohomish","Esc",4210
2018,"Snohomish","Esc (tGMR)",NA
2019,"Snohomish","Esc",1642
2019,"Snohomish","Esc (tGMR)",NA
2020,"Snohomish","Esc",3933
2020,"Snohomish","Esc (tGMR)",NA
2021,"Snohomish","Esc",2999
2021,"Snohomish","Esc (tGMR)",NA
2022,"Snohomish","Esc",5635
2022,"Snohomish","Esc (tGMR)",NA
1975,"Green","Esc (Redd Ct)",3394
1975,"Green","Esc (MR)",NA
1976,"Green","Esc (Redd Ct)",3140
1976,"Green","Esc (MR)",NA
1977,"Green","Esc (Redd Ct)",3804
1977,"Green","Esc (MR)",NA
1978,"Green","Esc (Redd Ct)",3304
1978,"Green","Esc (MR)",NA
1979,"Green","Esc (Redd Ct)",9704
1979,"Green","Esc (MR)",NA
1980,"Green","Esc (Redd Ct)",7743
1980,"Green","Esc (MR)",NA
1981,"Green","Esc (Redd Ct)",3606
1981,"Green","Esc (MR)",NA
1982,"Green","Esc (Redd Ct)",1840
1982,"Green","Esc (MR)",NA
1983,"Green","Esc (Redd Ct)",3679
1983,"Green","Esc (MR)",NA
1984,"Green","Esc (Redd Ct)",3353
1984,"Green","Esc (MR)",NA
1985,"Green","Esc (Redd Ct)",2908
1985,"Green","Esc (MR)",NA
1986,"Green","Esc (Redd Ct)",4792
1986,"Green","Esc (MR)",NA
1987,"Green","Esc (Redd Ct)",10338
1987,"Green","Esc (MR)",NA
1988,"Green","Esc (Redd Ct)",7994
1988,"Green","Esc (MR)",NA
1989,"Green","Esc (Redd Ct)",11512
1989,"Green","Esc (MR)",NA
1990,"Green","Esc (Redd Ct)",7035
1990,"Green","Esc (MR)",NA
1991,"Green","Esc (Redd Ct)",10548
1991,"Green","Esc (MR)",NA
1992,"Green","Esc (Redd Ct)",5267
1992,"Green","Esc (MR)",NA
1993,"Green","Esc (Redd Ct)",2476
1993,"Green","Esc (MR)",NA
1994,"Green","Esc (Redd Ct)",4078
1994,"Green","Esc (MR)",NA
1995,"Green","Esc (Redd Ct)",7939
1995,"Green","Esc (MR)",NA
1996,"Green","Esc (Redd Ct)",6026
1996,"Green","Esc (MR)",NA
1997,"Green","Esc (Redd Ct)",7101
1997,"Green","Esc (MR)",NA
1998,"Green","Esc (Redd Ct)",5963
1998,"Green","Esc (MR)",NA
1999,"Green","Esc (Redd Ct)",7135
1999,"Green","Esc (MR)",NA
2000,"Green","Esc (Redd Ct)",4473
2000,"Green","Esc (MR)",10526
2001,"Green","Esc (Redd Ct)",6473
2001,"Green","Esc (MR)",21402
2002,"Green","Esc (Redd Ct)",7564
2002,"Green","Esc (MR)",14857
2003,"Green","Esc (Redd Ct)",5864
2003,"Green","Esc (MR)",NA
2004,"Green","Esc (Redd Ct)",7947
2004,"Green","Esc (MR)",NA
2005,"Green","Esc (Redd Ct)",2523
2005,"Green","Esc (MR)",NA
2006,"Green","Esc (Redd Ct)",5790
2006,"Green","Esc (MR)",NA
2007,"Green","Esc (Redd Ct)",4301
2007,"Green","Esc (MR)",NA
2008,"Green","Esc (Redd Ct)",5971
2008,"Green","Esc (MR)",NA
2009,"Green","Esc (Redd Ct)",688
2009,"Green","Esc (MR)",NA
2010,"Green","Esc (Redd Ct)",2092
2010,"Green","Esc (tGMR)",4541
2011,"Green","Esc (Redd Ct)",993
2011,"Green","Esc (tGMR)",3382
2012,"Green","Esc (Redd Ct)",3091
2012,"Green","Esc (tGMR)",4528
2013,"Green","Esc (Redd Ct)",2041
2013,"Green","Esc (tGMR)",NA
2014,"Green","Esc (Redd Ct)",2730
2014,"Green","Esc (tGMR)",NA
2015,"Green","Esc (Redd Ct)",4087
2015,"Green","Esc (tGMR)",NA
2016,"Green","Esc (Redd Ct)",10063
2016,"Green","Esc (tGMR)",NA
2017,"Green","Esc (Redd Ct)",8357
2017,"Green","Esc (tGMR)",NA
2018,"Green","Esc (Redd Ct)",6891
2018,"Green","Esc (tGMR)",NA
2019,"Green","Esc (Redd Ct)",2976
2019,"Green","Esc (tGMR)",NA
2020,"Green","Esc (Redd Ct)",4300
2020,"Green","Esc (tGMR)",NA
2021,"Green","Esc (Redd Ct)",3070
2021,"Green","Esc (tGMR)",NA
2022,"Green","Esc (Redd Ct)",5587
2022,"Green","Esc (tGMR)",NA
1975,"Nooksack","Total Esc",NA
1975,"Nooksack","Total Nat. Origin Esc",NA
1975,"Nooksack","Esc (tGMR)",NA
1976,"Nooksack","Total Esc",NA
1976,"Nooksack","Total Nat. Origin Esc",NA
1976,"Nooksack","Esc (tGMR)",NA
1977,"Nooksack","Total Esc",NA
1977,"Nooksack","Total Nat. Origin Esc",NA
1977,"Nooksack","Esc (tGMR)",NA
1978,"Nooksack","Total Esc",NA
1978,"Nooksack","Total Nat. Origin Esc",NA
1978,"Nooksack","Esc (tGMR)",NA
1979,"Nooksack","Total Esc",NA
1979,"Nooksack","Total Nat. Origin Esc",NA
1979,"Nooksack","Esc (tGMR)",NA
1980,"Nooksack","Total Esc",NA
1980,"Nooksack","Total Nat. Origin Esc",NA
1980,"Nooksack","Esc (tGMR)",NA
1981,"Nooksack","Total Esc",NA
1981,"Nooksack","Total Nat. Origin Esc",NA
1981,"Nooksack","Esc (tGMR)",NA
1982,"Nooksack","Total Esc",NA
1982,"Nooksack","Total Nat. Origin Esc",NA
1982,"Nooksack","Esc (tGMR)",NA
1983,"Nooksack","Total Esc",NA
1983,"Nooksack","Total Nat. Origin Esc",NA
1983,"Nooksack","Esc (tGMR)",NA
1984,"Nooksack","Total Esc",233
1984,"Nooksack","Total Nat. Origin Esc",NA
1984,"Nooksack","Esc (tGMR)",NA
1985,"Nooksack","Total Esc",703
1985,"Nooksack","Total Nat. Origin Esc",NA
1985,"Nooksack","Esc (tGMR)",NA
1986,"Nooksack","Total Esc",396
1986,"Nooksack","Total Nat. Origin Esc",NA
1986,"Nooksack","Esc (tGMR)",NA
1987,"Nooksack","Total Esc",429
1987,"Nooksack","Total Nat. Origin Esc",NA
1987,"Nooksack","Esc (tGMR)",NA
1988,"Nooksack","Total Esc",689
1988,"Nooksack","Total Nat. Origin Esc",NA
1988,"Nooksack","Esc (tGMR)",NA
1989,"Nooksack","Total Esc",909
1989,"Nooksack","Total Nat. Origin Esc",NA
1989,"Nooksack","Esc (tGMR)",NA
1990,"Nooksack","Total Esc",152
1990,"Nooksack","Total Nat. Origin Esc",NA
1990,"Nooksack","Esc (tGMR)",NA
1991,"Nooksack","Total Esc",473
1991,"Nooksack","Total Nat. Origin Esc",NA
