year,StockName,LineType,Note,Agency Goal,ESA Recovery Goal,Minimun Natural Escapement Goal,PSC-Agreed Goal,Lower Goal,Upper Goal,Smsy
2013,Snohomish,Dotted,NA,2800,NA,NA,NA,2800,,
2014,Snohomish,Dotted,NA,2800,NA,NA,NA,2800,,
2015,Snohomish,Dotted,NA,2800,NA,NA,NA,2800,,
2016,Snohomish,Dotted,NA,2800,NA,NA,NA,2800,,
2017,Snohomish,Dotted,NA,3375,NA,NA,NA,3375,,
2018,Snohomish,Dotted,NA,3375,NA,NA,NA,3375,,
2019,Snohomish,Dotted,NA,3375,NA,NA,NA,3375,,
2020,Snohomish,Dotted,NA,3375,NA,NA,NA,3375,,
2021,Snohomish,Dotted,NA,3375,NA,NA,NA,3375,,
2022,Snohomish,Dotted,NA,3250,NA,NA,NA,3250,4900,
2023,Snohomish,Dotted,NA,3250,NA,NA,NA,3250,4900,
2024,Snohomish,Dotted,NA,3250,NA,NA,NA,3250,4900,
1994,Unuk River,Dotted,"ADF&G - 875 peak survey count, with a multiplier of 4.83 to expand this to escapement goal",4226.25,,,,,,
1995,Unuk River,Dotted,,4226.25,,,,,,
1996,Unuk River,Dotted,,4226.25,,,,,,
1997,Unuk River,Solid,ADF&G - McPherson and Carlile 1997),,,,,3139.5,6762,
1998,Unuk River,Solid,,,,,,3139.5,6762,
1999,Unuk River,Solid,,,,,,3139.5,6762,
2000,Unuk River,Solid,,,,,,3139.5,6762,
2001,Unuk River,Solid,,,,,,3139.5,6762,
2002,Unuk River,Solid,,,,,,3139.5,6762,
2003,Unuk River,Solid,,,,,,3139.5,6762,
2004,Unuk River,Solid,,,,,,3139.5,6762,
2005,Unuk River,Solid,,,,,,3139.5,6762,
2006,Unuk River,Solid,,,,,,3139.5,6762,
2007,Unuk River,Solid,,,,,,3139.5,6762,
2008,Unuk River,Solid,,,,,,3139.5,6762,
2009,Unuk River,Solid,CTC accepted range,,,,,1800,3800,
2010,Unuk River,Solid,,,,,,1800,3800,
2011,Unuk River,Solid,,,,,,1800,3800,
2012,Unuk River,Solid,,,,,,1800,3800,
2013,Unuk River,Solid,,,,,,1800,3800,
2014,Unuk River,Solid,,,,,,1800,3800,
2015,Unuk River,Solid,,,,,,1800,3800,
2016,Unuk River,Solid,,,,,,1800,3800,
2017,Unuk River,Solid,,,,,,1800,3800,
2018,Unuk River,Solid,,,,,,1800,3800,
2019,Unuk River,Solid,,,,,,1800,3800,
2020,Unuk River,Solid,,,,,,1800,3800,
2021,Unuk River,Solid,,,,,,1800,3800,
2022,Unuk River,Solid,,,,,,1800,3800,
2023,Unuk River,Solid,,,,,,1800,3800,
2024,Unuk River,Solid,,,,,,1800,3800,
2019,Nicola,Dotted,Habitat Based not CTC adopted,6600,,,,,,
2020,Nicola,Dotted,,6600,,,,,,
2021,Nicola,Dotted,,6600,,,,,,
2022,Nicola,Dotted,,6600,,,,,,
2023,Nicola,Dotted,,6600,,,,,,
2024,Nicola,Dotted,,6600,,,,,,
1984,Nooksack,Dotted,All agency/comanager goals,,,,,1000,,
1985,Nooksack,Dotted,,,,,,1000,,
1986,Nooksack,Dotted,,,,,,1000,,
1987,Nooksack,Dotted,,,,,,1000,,
1988,Nooksack,Dotted,,,,,,1000,,
1989,Nooksack,Dotted,,,,,,1000,,
1990,Nooksack,Dotted,,,,,,1000,,
1991,Nooksack,Dotted,,,,,,1000,,
1992,Nooksack,Dotted,,,,,,1000,,
1993,Nooksack,Dotted,,,,,,1000,,
1994,Nooksack,Dotted,,,,,,1000,,
1995,Nooksack,Dotted,,,,,,1000,,
1996,Nooksack,Dotted,,,,,,1000,,
1997,Nooksack,Dotted,,,,,,1000,,
1998,Nooksack,Dotted,,,,,,1000,,
1999,Nooksack,Dotted,,,,,,1000,,
2000,Nooksack,Dotted,,,,,,1000,,
2001,Nooksack,Dotted,,,,,,1000,,
2002,Nooksack,Dotted,,,,,,1000,,
2003,Nooksack,Dotted,,,,,,1000,,
2004,Nooksack,Dotted,,,,,,1000,,
2005,Nooksack,Dotted,,,,,,1000,,
2006,Nooksack,Dotted,,,,,,1000,,
2007,Nooksack,Dotted,,,,,,1000,,
2008,Nooksack,Dotted,,,,,,1000,,
2009,Nooksack,Dotted,,,,,,1000,,
2010,Nooksack,Dotted,,,,,,1000,,
2011,Nooksack,Dotted,,,,,,1000,,
2012,Nooksack,Dotted,,,,,,1000,,
2013,Nooksack,Dotted,,,,,,1000,,
2014,Nooksack,Dotted,,,,,,1000,,
2015,Nooksack,Dotted,,,,,,1000,,
2016,Nooksack,Dotted,,,,,,1000,,
2017,Nooksack,Dotted,"Sum of forks escapement goal represented, that is how CTC represents it",,,,,1200,,
2018,Nooksack,Dotted,,,,,,1200,,
2019,Nooksack,Dotted,,,,,,1200,,
2020,Nooksack,Dotted,,,,,,1200,,
2021,Nooksack,Dotted,,,,,,1200,,
2022,Nooksack,Dotted,,,,,,600,,
2023,Nooksack,Dotted,,,,,,600,,
2024,Nooksack,Dotted,,,,,,600,,
1999,Stikine,Solid,Bernard et al 2000,,,,,14000,28000,
2000,Stikine,Solid,,,,,,14000,28000,
2001,Stikine,Solid,,,,,,14000,28000,
2002,Stikine,Solid,,,,,,14000,28000,
2003,Stikine,Solid,,,,,,14000,28000,
2004,Stikine,Solid,,,,,,14000,28000,
2005,Stikine,Solid,,,,,,14000,28000,
2006,Stikine,Solid,,,,,,14000,28000,
2007,Stikine,Solid,,,,,,14000,28000,
2008,Stikine,Solid,,,,,,14000,28000,
2009,Stikine,Solid,,,,,,14000,28000,
2010,Stikine,Solid,,,,,,14000,28000,
2011,Stikine,Solid,,,,,,14000,28000,
2012,Stikine,Solid,,,,,,14000,28000,
2013,Stikine,Solid,,,,,,14000,28000,
2014,Stikine,Solid,,,,,,14000,28000,
2015,Stikine,Solid,,,,,,14000,28000,
2016,Stikine,Solid,,,,,,14000,28000,
2017,Stikine,Solid,,,,,,14000,28000,
2018,Stikine,Solid,,,,,,14000,28000,
2019,Stikine,Solid,,,,,,14000,28000,
2020,Stikine,Solid,,,,,,14000,28000,
2021,Stikine,Solid,,,,,,14000,28000,
2022,Stikine,Solid,,,,,,14000,28000,
2023,Stikine,Solid,,,,,,14000,28000,
2024,Stikine,Solid,,,,,,14000,28000,
2000,Stillaguamish,Dotted,,,,,,700,,
2001,Stillaguamish,Dotted,,,,,,700,,
2002,Stillaguamish,Dotted,,,,,,700,,
2003,Stillaguamish,Dotted,,,,,,700,,
2004,Stillaguamish,Dotted,,,,,,700,,
2005,Stillaguamish,Dotted,,,,,,700,,
2006,Stillaguamish,Dotted,,,,,,700,,
2007,Stillaguamish,Dotted,,,,,,700,,
2008,Stillaguamish,Dotted,,,,,,700,,
2009,Stillaguamish,Dotted,,,,,,700,,
2010,Stillaguamish,Dotted,,,,,,700,,
2011,Stillaguamish,Dotted,,,,,,700,,
2012,Stillaguamish,Dotted,,,,,,700,,
2013,Stillaguamish,Dotted,,,,,,700,,
2014,Stillaguamish,Dotted,,,,,,700,,
2015,Stillaguamish,Dotted,,,,,,700,,
2016,Stillaguamish,Dotted,,,,,,700,,
2017,Stillaguamish,Dotted,,,,,,700,,
2018,Stillaguamish,Dotted,,,,,,900,,
2019,Stillaguamish,Dotted,,,,,,900,,
2020,Stillaguamish,Dotted,,,,,,900,,
2021,Stillaguamish,Dotted,,,,,,900,,
2022,Stillaguamish,Dotted,,,,,,900,,
2023,Stillaguamish,Dotted,,,,,,900,,
2009,Taku,Solid,Mcpherson et al 2010,,,,,19000,36000,
2010,Taku,Solid,,,,,,19000,36000,
2011,Taku,Solid,,,,,,19000,36000,
2012,Taku,Solid,,,,,,19000,36000,
2013,Taku,Solid,,,,,,19000,36000,
2014,Taku,Solid,,,,,,19000,36000,
2015,Taku,Solid,,,,,,19000,36000,
2016,Taku,Solid,,,,,,19000,36000,
2017,Taku,Solid,,,,,,19000,36000,
2018,Taku,Solid,,,,,,19000,36000,
2019,Taku,Solid,,,,,,19000,36000,
2020,Taku,Solid,,,,,,19000,36000,
2021,Taku,Solid,,,,,,19000,36000,
2022,Taku,Solid,,,,,,19000,36000,
2023,Taku,Solid,,,,,,19000,36000,
2024,Taku,Solid,,,,,,19000,36000,
2021,Kitsumkalum,Dotted,,,,,,,,5214
2022,Kitsumkalum,Dotted,,,,,,,,5214
2023,Kitsumkalum,Dotted,,,,,,,,5214
2024,Kitsumkalum,Dotted,,,,,,,,5214
